,artist,track_name,min,position,streams,track_id,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year,release_month,release_day,rel_date,boost_time,cur_date,boost_time_con
0,ALLMO$T,Bagay Tayo,5,5,144864,2mwd0LWLBgtQBEOLG96nbU,0WleeEe3UurwlNbDGhb5Yz,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,64,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,6.617216666666668,2018,12,4,2018-12-04,180 days 00:00:00.000000000,2019-06-02,180
1,ALLMO$T,Bagay Tayo,5,5,154411,2mwd0LWLBgtQBEOLG96nbU,0WleeEe3UurwlNbDGhb5Yz,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,64,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,6.617216666666668,2018,12,4,2018-12-04,182 days 00:00:00.000000000,2019-06-04,182
2,ALLMO$T,Dalaga,2,2,251341,3sm9FJhwOjsdzrfRgIf1ZK,0WleeEe3UurwlNbDGhb5Yz,3qQ3nCWa76vrQwTRf0sIbO,297932,2018-07-23,0,0.94,0.499,8,-10.123,1,0.0825,0.535,0.000119,0.0889,0.537,109.962,4.965533333333333,2018,7,23,2018-07-23,258 days 00:00:00.000000000,2019-04-07,258
3,ALLMO$T,Dalaga,2,2,251020,3sm9FJhwOjsdzrfRgIf1ZK,0WleeEe3UurwlNbDGhb5Yz,3qQ3nCWa76vrQwTRf0sIbO,297932,2018-07-23,0,0.94,0.499,8,-10.123,1,0.0825,0.535,0.000119,0.0889,0.537,109.962,4.965533333333333,2018,7,23,2018-07-23,259 days 00:00:00.000000000,2019-04-08,259
4,ALLMO$T,Dalaga,2,2,229788,3PLARiBoxCpJFUMZhvV63x,0WleeEe3UurwlNbDGhb5Yz,3WcPb5LktyXktr9ufHLm4v,297932,2018-07-23,60,0.94,0.499,8,-10.123,1,0.0825,0.535,0.000119,0.0889,0.537,109.962,4.965533333333333,2018,7,23,2018-07-23,263 days 00:00:00.000000000,2019-04-12,263
5,Alessia Cara,"How Far I'll Go - From ""Moana""",5,5,148717,5hYTyyh2odQKphUbMqc5gN,2wUjUUtkb5lvLKcGKsKqsR,25IBuKrmZbgOVCGNigTXar,175517,2016-10-28,16,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,2.9252833333333332,2016,10,28,2016-10-28,79 days 00:00:00.000000000,2017-01-15,79
6,Anne-Marie,2002,3,3,167737,6SFStUDQZNaGPKWOx9ZiJB,1zNqDE7qDGCsyzJwohVaoX,661ouXU4o4oBewWvVzQN7H,186986,2018-04-27,22,0.6970000000000001,0.6829999999999999,1,-2.881,0,0.117,0.0372,0.0,0.13699999999999998,0.603,96.133,3.116433333333333,2018,4,27,2018-04-27,82 days 00:00:00.000000000,2018-07-18,82
7,Anne-Marie,2002,3,3,163520,6SFStUDQZNaGPKWOx9ZiJB,1zNqDE7qDGCsyzJwohVaoX,661ouXU4o4oBewWvVzQN7H,186986,2018-04-27,22,0.6970000000000001,0.6829999999999999,1,-2.881,0,0.117,0.0372,0.0,0.13699999999999998,0.603,96.133,3.116433333333333,2018,4,27,2018-04-27,83 days 00:00:00.000000000,2018-07-19,83
8,Ariana Grande,7 rings,5,5,222322,6ocbgoVGwYJhOv1GgI9NsF,66CXWjxzNUsdJxJ2JdwvnR,2fYhqwDWXjbpjaIJPEfKFw,178626,2019-02-08,88,0.778,0.317,1,-10.732,0,0.334,0.5920000000000001,0.0,0.0881,0.327,140.048,2.9771,2019,2,8,2019-02-08,0 days 00:00:00.000000000,2019-02-08,0
9,Ariana Grande,7 rings,5,5,222676,6ocbgoVGwYJhOv1GgI9NsF,66CXWjxzNUsdJxJ2JdwvnR,2fYhqwDWXjbpjaIJPEfKFw,178626,2019-02-08,88,0.778,0.317,1,-10.732,0,0.334,0.5920000000000001,0.0,0.0881,0.327,140.048,2.9771,2019,2,8,2019-02-08,1 days 00:00:00.000000000,2019-02-09,1
